fund,annualised_return,annualised_volatility,sharpe,max_drawdown
equity_equal_weight,0.12643529221978822,0.16166197477746672,0.8173873626510388,-0.20321862626913634
equity_min_variance,0.0556765337067926,0.12724328291622708,0.4894396909527582,-0.15392558206541662
equity_risk_parity,0.09954528525959083,0.14583757712135914,0.7236768772103302,-0.18532140736261737
equity_max_sharpe,0.06257010226022719,0.17391050063929722,0.4360721080182005,-0.23133419397763266
crypto_equal_weight,0.5023323130370592,0.8052131581329561,0.9124430846675284,-0.8159730614257942
crypto_min_variance,0.7294086149742249,0.7850885585027201,1.0932252715139568,-0.7859141145017933
crypto_risk_parity,0.5611433875412779,0.7831711596711273,0.9644069013002452,-0.7953232966580892
crypto_max_sharpe,0.3580749807536652,0.7587886541054841,0.7865855391152241,-0.8217133525825344
combined_equal_weight,0.1497918531249407,0.21251687241172795,0.7632789382310536,-0.28746987990265394
combined_min_variance,0.056436927181707564,0.1275250601799991,0.4942897138203276,-0.1556751740955845
combined_risk_parity,0.13967757489619803,0.1602015611085894,0.896385265791828,-0.19836886508195728
combined_max_sharpe,0.1779596383676736,0.22547049256013885,0.8390551083290555,-0.23262296370924396
